項次,銷售日期,機台,序號,時間,交易型態,票證晶片碼,交易前餘額,扣款金額,現金加值金額,現金加值取消,自動加值金額,交易後餘額,票證種類
64,2018/4/2,585066,1980,10:11,現金加值,9016852,304,0,"1,000",0,0,"1,304",悠遊卡
65,2018/4/2,585066,3074,10:10,銷售交易,7850434,504,400,0,0,0,104,悠遊卡
66,2018/4/2,585066,2141,10:03,銷售交易,7427691,214,982,0,0,"1,000",232,一卡通
67,2018/4/2,585066,2573,09:58,銷售交易,8474332,258,209,0,0,0,49,悠遊卡
68,2018/4/2,585066,2113,09:55,銷售交易,8957873,334,260,0,0,0,74,悠遊卡
69,2018/4/2,585066,2902,09:01,銷售交易,10475539,213,180,0,0,0,33,悠遊卡
70,2018/4/2,585066,487,08:56,銷售交易,10296669,"1,745",37,0,0,0,"1,708",悠遊卡
71,2018/4/2,585066,1692,08:51,銷售交易,7108598,207,106,0,0,0,101,悠遊卡
72,2018/4/2,585066,1771,08:47,銷售交易,7561959,81,40,0,0,0,41,悠遊卡
73,2018/4/2,585066,1026,08:44,銷售交易,7595424,"4,213",177,0,0,0,"4,036",悠遊卡
74,2018/4/2,585066,764,08:33,銷售交易,8495432,86,36,0,0,0,50,悠遊卡
75,2018/4/2,585066,894,08:27,銷售交易,9235321,"3,026",901,0,0,0,"2,125",悠遊卡
76,2018/4/2,585066,2453,08:25,銷售交易,7939914,"1,925",627,0,0,0,"1,298",悠遊卡
77,2018/4/2,585066,656,08:11,現金加值,7552493,0,0,200,0,0,200,悠遊卡
78,2018/4/2,585066,1016,08:09,銷售交易,7552493,64,64,0,0,0,0,悠遊卡
79,2018/4/2,585066,2351,08:09,銷售交易,7869378,297,8,0,0,0,289,悠遊卡
80,2018/4/2,585066,1744,08:07,銷售交易,7552493,288,224,0,0,0,64,悠遊卡
81,2018/4/2,585047,3486,20:21,銷售交易,9275196,"1,127",15,0,0,0,"1,112",悠遊卡
82,2018/4/2,585047,1193,20:21,銷售交易,9275196,"1,142",15,0,0,0,"1,127",悠遊卡
83,2018/4/2,585047,1294,20:21,銷售交易,9275196,"1,162",20,0,0,0,"1,142",悠遊卡
84,2018/4/2,585047,1240,20:21,銷售交易,9275196,"1,182",20,0,0,0,"1,162",悠遊卡
85,2018/4/2,585047,796,20:21,銷售交易,9275196,"1,202",20,0,0,0,"1,182",悠遊卡
86,2018/4/2,585047,2200,20:20,銷售交易,9275196,"1,245",43,0,0,0,"1,202",悠遊卡
87,2018/4/2,585047,2829,19:02,銷售交易,8351385,467,381,0,0,0,86,一卡通
88,2018/4/2,585047,1387,19:02,銷售交易,10502270,263,843,0,0,600,20,一卡通
89,2018/4/2,585047,1950,18:57,銷售交易,9670726,133,157,0,0,500,476,悠遊卡
90,2018/4/2,585047,3442,18:51,銷售交易,8682449,569,274,0,0,0,295,悠遊卡
91,2018/4/2,585047,2749,18:20,銷售交易,7112608,349,23,0,0,0,326,悠遊卡
92,2018/4/2,585047,2346,18:20,銷售交易,7837570,140,226,0,0,500,414,悠遊卡
93,2018/4/2,585047,3005,18:18,銷售交易,7349310,"1,164",24,0,0,0,"1,140",悠遊卡
94,2018/4/2,585047,934,18:16,銷售交易,7302963,152,135,0,0,0,17,一卡通
95,2018/4/2,585047,1069,18:11,銷售交易,10302383,2,77,0,0,500,425,悠遊卡
96,2018/4/2,585047,1176,18:05,銷售交易,9566275,386,745,0,0,500,141,悠遊卡
97,2018/4/2,585047,1025,17:53,銷售交易,7840987,"1,813",216,0,0,0,"1,597",悠遊卡
98,2018/4/2,585047,2113,17:47,銷售交易,8366018,451,452,0,0,500,499,悠遊卡
99,2018/4/2,585047,1871,17:32,銷售交易,7826449,216,240,0,0,500,476,悠遊卡
100,2018/4/2,585047,3460,17:16,銷售交易,10297414,35,30,0,0,0,5,悠遊卡
101,2018/4/2,585047,622,17:15,銷售交易,9527460,550,106,0,0,0,444,悠遊卡
102,2018/4/2,585047,969,17:11,銷售交易,8547180,122,30,0,0,0,92,悠遊卡
103,2018/4/2,585047,768,17:09,銷售交易,9331240,111,129,0,0,500,482,悠遊卡
104,2018/4/2,585047,487,17:06,銷售交易,8412948,812,192,0,0,0,620,悠遊卡
105,2018/4/2,585047,1055,15:11,銷售交易,9083297,271,429,0,0,200,42,一卡通
106,2018/4/2,585047,859,14:46,銷售交易,8484493,261,63,0,0,0,198,悠遊卡
107,2018/4/2,585047,2351,14:21,銷售交易,10125045,480,39,0,0,0,441,悠遊卡
108,2018/4/2,585047,1486,14:20,銷售交易,7412160,931,655,0,0,0,276,悠遊卡
109,2018/4/2,585047,458,13:19,銷售交易,7475590,634,48,0,0,0,586,悠遊卡
110,2018/4/2,585043,1609,22:49,銷售交易,9603751,482,136,0,0,0,346,一卡通
111,2018/4/2,585043,1000,22:41,銷售交易,10115565,38,116,0,0,500,422,悠遊卡
112,2018/4/2,585043,1936,22:20,銷售交易,7940275,415,155,0,0,0,260,悠遊卡
113,2018/4/2,585043,1629,22:01,銷售交易,8817123,461,59,0,0,0,402,悠遊卡
114,2018/4/2,585043,2106,21:58,銷售交易,9583216,421,204,0,0,0,217,悠遊卡
115,2018/4/2,585043,2565,21:55,銷售交易,10474200,246,218,0,0,0,28,一卡通
116,2018/4/2,585043,2536,21:51,銷售交易,7422390,65,46,0,0,0,19,悠遊卡
117,2018/4/2,585043,468,21:43,銷售交易,9254782,197,23,0,0,0,174,悠遊卡
118,2018/4/2,585043,3020,21:43,銷售交易,9254782,312,115,0,0,0,197,悠遊卡
119,2018/4/2,585043,1339,21:29,銷售交易,9566596,462,252,0,0,0,210,悠遊卡
120,2018/4/2,585043,1214,21:26,銷售交易,9440169,240,49,0,0,0,191,悠遊卡
121,2018/4/2,585043,2637,21:23,銷售交易,9295979,192,49,0,0,0,143,悠遊卡
122,2018/4/2,585043,1782,21:10,銷售交易,7851188,425,94,0,0,0,331,悠遊卡
123,2018/4/2,585043,3079,21:06,銷售交易,8419309,272,42,0,0,0,230,悠遊卡
124,2018/4/2,585043,3407,20:51,銷售交易,9777490,204,78,0,0,0,126,悠遊卡
125,2018/4/2,585043,1121,20:38,銷售交易,10038300,306,51,0,0,0,255,悠遊卡
126,2018/4/2,585043,2834,20:22,銷售交易,7361667,320,134,0,0,0,186,悠遊卡
127,2018/4/2,585043,1393,20:05,銷售交易,7448036,504,109,0,0,0,395,悠遊卡
128,2018/4/2,585043,1496,19:56,銷售交易,8725124,50,296,0,0,500,254,悠遊卡
129,2018/4/2,585043,928,19:50,銷售交易,10520761,"1,102",856,0,0,0,246,悠遊卡
130,2018/4/2,585043,1325,19:49,現金加值,10520761,102,0,"1,000",0,0,"1,102",悠遊卡
131,2018/4/2,585043,1102,19:43,銷售交易,8033051,24,203,0,0,200,21,一卡通
132,2018/4/2,585043,2443,19:40,銷售交易,10221645,379,38,0,0,0,341,悠遊卡
133,2018/4/2,585043,399,19:20,銷售交易,7229706,220,132,0,0,0,88,悠遊卡
134,2018/4/2,585043,1620,19:19,銷售交易,10352537,346,24,0,0,0,322,悠遊卡
135,2018/4/2,585043,1207,19:13,銷售交易,8453536,256,280,0,0,500,476,悠遊卡
136,2018/4/2,585043,2641,19:12,銷售交易,7608242,374,219,0,0,0,155,悠遊卡
137,2018/4/2,585043,525,19:12,銷售交易,8747039,701,147,0,0,0,554,悠遊卡
138,2018/4/2,585043,954,17:59,銷售交易,8401275,620,81,0,0,0,539,悠遊卡
139,2018/4/2,585043,727,17:55,銷售交易,8247808,325,75,0,0,0,250,悠遊卡
140,2018/4/2,585043,3391,17:44,銷售交易,7483618,489,233,0,0,0,256,悠遊卡
141,2018/4/2,585043,3388,17:42,銷售交易,10088102,543,269,0,0,0,274,悠遊卡
142,2018/4/2,585043,1669,17:35,銷售交易,10195801,395,105,0,0,0,290,悠遊卡
143,2018/4/2,585043,886,17:32,銷售交易,10254977,"2,869",206,0,0,0,"2,663",悠遊卡
144,2018/4/2,585043,557,17:31,銷售交易,8412948,"1,620",233,0,0,0,"1,387",悠遊卡
145,2018/4/2,585043,2418,17:31,現金加值,8412948,620,0,"1,000",0,0,"1,620",悠遊卡
146,2018/4/2,585043,3314,17:19,銷售交易,8585124,89,56,0,0,0,33,悠遊卡
147,2018/4/2,585043,2989,16:45,銷售交易,10026506,44,320,0,0,400,124,一卡通
148,2018/4/2,585043,526,16:44,銷售交易,7475590,456,270,0,0,0,186,悠遊卡
149,2018/4/2,585043,3603,16:38,銷售交易,10178014,"2,380",75,0,0,0,"2,305",悠遊卡
150,2018/4/2,585043,895,16:35,銷售交易,8560553,525,69,0,0,0,456,悠遊卡
151,2018/4/2,585043,2222,16:29,銷售交易,10271928,80,250,0,0,500,330,悠遊卡
152,2018/4/2,585043,2510,16:19,銷售交易,10357500,538,304,0,0,0,234,悠遊卡
153,2018/4/2,585043,1269,16:08,銷售交易,9928359,830,209,0,0,0,621,悠遊卡
154,2018/4/2,585043,3363,16:08,交易作廢,9928359,368,-462,0,0,0,830,悠遊卡
155,2018/4/2,585043,1316,16:06,銷售交易,9928359,330,462,0,0,500,368,悠遊卡
156,2018/4/2,585043,2618,15:54,銷售交易,7475590,541,85,0,0,0,456,悠遊卡
157,2018/4/2,585043,2145,12:44,銷售交易,8585124,136,47,0,0,0,89,悠遊卡
158,2018/4/2,585043,2555,12:28,銷售交易,10375078,260,55,0,0,0,205,悠遊卡
159,2018/4/2,585043,2555,12:23,銷售交易,8113419,359,227,0,0,0,132,悠遊卡
160,2018/4/2,585043,768,12:03,銷售交易,8002787,175,130,0,0,0,45,一卡通
161,2018/4/2,585043,3047,11:16,銷售交易,7797631,278,128,0,0,0,150,悠遊卡
162,2018/4/2,585043,764,10:25,銷售交易,8660482,236,886,0,0,"1,000",350,悠遊卡
163,2018/4/2,585043,3394,10:08,銷售交易,9076540,13,211,0,0,500,302,悠遊卡
164,2018/4/2,585043,656,09:33,銷售交易,8481906,"2,064",579,0,0,0,"1,485",悠遊卡
1,2018/4/3,585066,2307,0.913888889,銷售交易,8869359,992,205,0,0,0,787,悠遊卡
2,2018/4/3,585066,775,0.896527778,銷售交易,8288137,"1,405",72,0,0,0,"1,333",悠遊卡
3,2018/4/3,585066,1351,0.895138889,銷售交易,9113994,538,77,0,0,0,461,悠遊卡
4,2018/4/3,585066,1509,0.885416667,銷售交易,9736655,894,203,0,0,0,691,悠遊卡
5,2018/4/3,585066,2424,0.872222222,現金加值,8817123,402,0,500,0,0,902,悠遊卡
6,2018/4/3,585066,971,0.871527778,銷售交易,8817123,902,412,0,0,0,490,悠遊卡
7,2018/4/3,585066,3501,0.867361111,銷售交易,10464580,"1,081",516,0,0,0,565,悠遊卡
8,2018/4/3,585066,381,0.854166667,銷售交易,8260036,242,374,0,0,500,368,悠遊卡
9,2018/4/3,585066,3548,0.847222222,銷售交易,8755229,799,354,0,0,0,445,悠遊卡
10,2018/4/3,585066,3125,0.810416667,銷售交易,9332787,365,292,0,0,0,73,悠遊卡
11,2018/4/3,585066,2164,0.774305556,銷售交易,8499402,95,37,0,0,0,58,悠遊卡
12,2018/4/3,585066,848,0.733333333,銷售交易,9818777,580,189,0,0,0,391,悠遊卡
13,2018/4/3,585066,1766,0.729166667,銷售交易,8030606,166,178,0,0,200,188,一卡通
14,2018/4/3,585066,2637,0.722222222,銷售交易,7785146,372,43,0,0,0,329,悠遊卡
15,2018/4/3,585066,459,0.717361111,銷售交易,7213450,32,217,0,0,500,315,一卡通
16,2018/4/3,585066,3157,0.698611111,銷售交易,7203895,275,255,0,0,0,20,悠遊卡
17,2018/4/3,585066,2091,0.645833333,銷售交易,8401275,"1,039",192,0,0,0,847,悠遊卡
18,2018/4/3,585066,397,0.629861111,銷售交易,9978334,334,150,0,0,0,184,悠遊卡
19,2018/4/3,585066,1207,0.629166667,銷售交易,8484493,298,78,0,0,0,220,悠遊卡
20,2018/4/3,585066,2280,0.629166667,交易作廢,8484493,220,-78,0,0,0,298,悠遊卡
21,2018/4/3,585066,525,0.628472222,銷售交易,8484493,298,78,0,0,0,220,悠遊卡
22,2018/4/3,585066,3072,0.627777778,現金加值,8484493,198,0,100,0,0,298,悠遊卡
23,2018/4/3,585066,2336,0.627083333,銷售交易,9805975,0,610,0,0,"1,000",390,悠遊卡
24,2018/4/3,585066,686,0.603472222,銷售交易,9037421,62,46,0,0,0,16,悠遊卡
25,2018/4/3,585066,3307,0.59375,銷售交易,7232731,257,24,0,0,0,233,悠遊卡
26,2018/4/3,585066,3048,0.585416667,銷售交易,7557526,191,54,0,0,0,137,悠遊卡
27,2018/4/3,585066,3149,0.527083333,銷售交易,8171723,315,84,0,0,0,231,悠遊卡
28,2018/4/3,585066,1014,0.526388889,銷售交易,8340090,157,69,0,0,0,88,悠遊卡
29,2018/4/3,585066,1381,0.520138889,銷售交易,10357500,234,314,0,0,500,420,悠遊卡
30,2018/4/3,585066,900,0.516666667,銷售交易,7709798,368,38,0,0,0,330,悠遊卡
31,2018/4/3,585066,557,0.513194444,銷售交易,9974706,195,109,0,0,0,86,一卡通
32,2018/4/3,585066,514,0.511111111,銷售交易,8089456,64,157,0,0,200,107,一卡通
33,2018/4/3,585066,2561,0.490972222,銷售交易,9287059,495,260,0,0,0,235,悠遊卡
34,2018/4/3,585066,2958,0.488194444,銷售交易,8537103,4,76,0,0,500,428,悠遊卡
35,2018/4/3,585066,3609,0.465972222,銷售交易,9324138,273,493,0,0,500,280,悠遊卡
36,2018/4/3,585066,3559,0.4625,銷售交易,7556840,118,26,0,0,0,92,悠遊卡
37,2018/4/3,585066,1176,0.436805556,銷售交易,8477656,163,304,0,0,200,59,一卡通
38,2018/4/3,585066,2625,0.434027778,銷售交易,9527460,444,79,0,0,0,365,悠遊卡
39,2018/4/3,585066,3332,0.394444444,銷售交易,7683932,"1,072",271,0,0,0,801,悠遊卡
40,2018/4/3,585066,1692,0.377083333,現金加值,8614901,3,0,"1,000",0,0,"1,003",悠遊卡
41,2018/4/3,585066,3047,0.377083333,銷售交易,8614901,170,167,0,0,0,3,悠遊卡
42,2018/4/3,585066,764,0.356944444,現金加值,7320802,370,0,"1,000",0,0,"1,370",悠遊卡
43,2018/4/3,585066,2864,0.35625,銷售交易,7320802,548,178,0,0,0,370,悠遊卡
44,2018/4/3,585066,1788,0.347222222,銷售交易,7850757,183,20,0,0,0,163,悠遊卡
45,2018/4/3,585066,2250,0.343055556,銷售交易,9799879,359,101,0,0,0,258,悠遊卡
46,2018/4/3,585066,1016,0.338194444,銷售交易,7552493,200,88,0,0,0,112,悠遊卡
47,2018/4/3,585066,1744,0.334027778,銷售交易,8907411,459,25,0,0,0,434,悠遊卡
48,2018/4/3,585066,1474,0.953472222,銷售交易,8454971,21,200,0,0,200,21,一卡通
49,2018/4/3,585066,744,0.939583333,銷售交易,8597084,577,152,0,0,0,425,悠遊卡
50,2018/4/3,585066,2513,0.934027778,銷售交易,7781675,100,264,0,0,500,336,悠遊卡
51,2018/4/3,585066,1823,0.925694444,銷售交易,7736099,493,103,0,0,0,390,悠遊卡
52,2018/4/3,585066,1551,0.917361111,銷售交易,9115144,180,64,0,0,0,116,悠遊卡
53,2018/4/3,585047,1269,0.936805556,銷售交易,9526738,182,83,0,0,0,99,悠遊卡
54,2018/4/3,585047,1316,0.932638889,銷售交易,10484455,289,156,0,0,0,133,悠遊卡
55,2018/4/3,585047,454,0.769444444,銷售交易,7161884,293,91,0,0,0,202,悠遊卡
56,2018/4/3,585047,2145,0.7625,銷售交易,10271928,258,187,0,0,0,71,悠遊卡
57,2018/4/3,585047,1065,0.755555556,銷售交易,7349310,"1,051",24,0,0,0,"1,027",悠遊卡
58,2018/4/3,585047,587,0.753472222,銷售交易,9343293,208,180,0,0,0,28,悠遊卡
59,2018/4/3,585047,2053,0.752083333,銷售交易,8167821,438,219,0,0,0,219,悠遊卡
60,2018/4/3,585047,427,0.676388889,銷售交易,10374621,98,332,0,0,400,166,一卡通
61,2018/4/3,585047,1074,0.634722222,銷售交易,9818777,667,87,0,0,0,580,悠遊卡
62,2018/4/3,585047,2579,0.582638889,銷售交易,8758797,55,23,0,0,0,32,悠遊卡
63,2018/4/3,585047,455,0.579166667,銷售交易,7709798,330,52,0,0,0,278,悠遊卡
64,2018/4/3,585047,1822,0.571527778,銷售交易,8901184,340,33,0,0,0,307,悠遊卡
65,2018/4/3,585047,2165,0.570833333,銷售交易,8251711,287,45,0,0,0,242,悠遊卡
66,2018/4/3,585047,1602,0.569444444,銷售交易,7557526,423,124,0,0,0,299,悠遊卡
67,2018/4/3,585047,2073,0.5625,銷售交易,8845054,113,8,0,0,0,105,悠遊卡
68,2018/4/3,585043,1095,0.905555556,銷售交易,8030929,131,31,0,0,0,100,悠遊卡
69,2018/4/3,585043,1120,0.88125,銷售交易,8803820,95,45,0,0,0,50,一卡通
70,2018/4/3,585043,2845,0.870833333,銷售交易,8802237,408,81,0,0,0,327,悠遊卡
71,2018/4/3,585043,2775,0.864583333,銷售交易,9149436,889,268,0,0,0,621,悠遊卡
72,2018/4/3,585043,399,0.864583333,交易作廢,9149436,103,-786,0,0,0,889,悠遊卡
73,2018/4/3,585043,1620,0.8625,銷售交易,9149436,889,786,0,0,0,103,悠遊卡
74,2018/4/3,585043,2735,0.856944444,銷售交易,8558543,485,36,0,0,0,449,悠遊卡
75,2018/4/3,585043,2134,0.845833333,銷售交易,9502601,499,332,0,0,0,167,悠遊卡
76,2018/4/3,585043,377,0.833333333,銷售交易,9028877,321,51,0,0,0,270,悠遊卡
77,2018/4/3,585043,682,0.830555556,銷售交易,10587474,245,226,0,0,0,19,悠遊卡
78,2018/4/3,585043,3375,0.81875,銷售交易,8639051,899,749,0,0,0,150,悠遊卡
79,2018/4/3,585043,2025,0.815972222,銷售交易,9422652,144,216,0,0,500,428,悠遊卡
80,2018/4/3,585043,954,0.8125,銷售交易,7370658,338,36,0,0,0,302,悠遊卡
81,2018/4/3,585043,2382,0.805555556,銷售交易,7608242,155,133,0,0,0,22,悠遊卡
82,2018/4/3,585043,2555,0.804166667,銷售交易,9791699,519,195,0,0,0,324,悠遊卡
83,2018/4/3,585043,2911,0.795833333,銷售交易,7112608,326,221,0,0,0,105,悠遊卡
84,2018/4/3,585043,3334,0.795138889,銷售交易,7837570,414,214,0,0,0,200,悠遊卡
85,2018/4/3,585043,3149,0.776388889,銷售交易,7693124,196,"1,000",0,0,"1,000",196,一卡通
86,2018/4/3,585043,2895,0.772222222,銷售交易,9350688,276,22,0,0,0,254,悠遊卡
87,2018/4/3,585043,1063,0.769444444,銷售交易,10064824,176,297,0,0,500,379,一卡通
88,2018/4/3,585043,969,0.754166667,銷售交易,10118474,246,83,0,0,0,163,悠遊卡
89,2018/4/3,585043,1240,0.74375,銷售交易,7869568,399,30,0,0,0,369,悠遊卡
90,2018/4/3,585043,3500,0.741666667,銷售交易,9755816,"1,668",49,0,0,0,"1,619",悠遊卡
91,2018/4/3,585043,2735,0.7375,銷售交易,9842119,227,22,0,0,0,205,悠遊卡
92,2018/4/3,585043,2989,0.733333333,銷售交易,8920645,578,50,0,0,0,528,悠遊卡
93,2018/4/3,585043,3426,0.732638889,銷售交易,8340099,40,214,0,0,500,326,悠遊卡
94,2018/4/3,585043,407,0.729166667,銷售交易,7603611,444,109,0,0,0,335,悠遊卡
95,2018/4/3,585043,835,0.718055556,銷售交易,8489654,"1,302",520,0,0,0,782,悠遊卡
96,2018/4/3,585043,2222,0.714583333,銷售交易,8845054,105,48,0,0,0,57,悠遊卡
97,2018/4/3,585043,577,0.710416667,銷售交易,7875319,326,72,0,0,0,254,悠遊卡
98,2018/4/3,585043,2761,0.704861111,銷售交易,10370596,137,486,0,0,500,151,悠遊卡
99,2018/4/3,585043,2876,0.702777778,銷售交易,10269715,485,63,0,0,0,422,悠遊卡
100,2018/4/3,585043,414,0.693055556,銷售交易,9639516,"1,295",259,0,0,0,"1,036",悠遊卡
101,2018/4/3,585043,1327,0.60625,銷售交易,10347773,540,30,0,0,0,510,悠遊卡
102,2018/4/3,585043,904,0.510416667,銷售交易,7829274,91,150,0,0,500,441,悠遊卡
103,2018/4/3,585043,622,0.486805556,銷售交易,7779094,17,318,0,0,400,99,一卡通
104,2018/4/3,585043,1912,0.458333333,銷售交易,8780010,127,64,0,0,0,63,悠遊卡
105,2018/4/3,585043,764,0.457638889,銷售交易,8780010,337,210,0,0,0,127,悠遊卡
106,2018/4/3,585043,2579,0.447916667,銷售交易,7704918,109,270,0,0,200,39,一卡通
107,2018/4/3,585043,319,0.370138889,銷售交易,7709798,450,82,0,0,0,368,悠遊卡
108,2018/4/3,585043,1066,0.329861111,銷售交易,7709798,620,170,0,0,0,450,悠遊卡
1,2018/4/4,585066,1788,0.354166667,銷售交易,8489806,"2,287",289,0,0,0,"1,998",悠遊卡
2,2018/4/4,585066,971,0.356944444,銷售交易,7442928,989,107,0,0,0,882,悠遊卡
3,2018/4/4,585066,2083,0.361111111,銷售交易,7850757,163,30,0,0,0,133,悠遊卡
4,2018/4/4,585066,1602,0.361805556,現金加值,7850757,133,0,600,0,0,733,悠遊卡
5,2018/4/4,585066,1026,0.372222222,現金加值,8484493,188,0,200,0,0,388,悠遊卡
6,2018/4/4,585066,2579,0.372222222,銷售交易,8484493,388,117,0,0,0,271,悠遊卡
7,2018/4/4,585066,2951,0.372916667,銷售交易,8975244,416,54,0,0,0,362,悠遊卡
8,2018/4/4,585066,1771,0.380555556,銷售交易,8901184,277,12,0,0,0,265,悠遊卡
9,2018/4/4,585066,794,0.388888889,銷售交易,7709798,254,89,0,0,0,165,悠遊卡
10,2018/4/4,585066,2886,0.39375,銷售交易,10359233,260,347,0,0,500,413,悠遊卡
